address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2
"Carrer de Sant Eusebi, Sant Gervasi- Galvany",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/157681520/d,1100,ATEMPORAL MONTHLY RENTALS,9202764010012,1,70
"Carrer de Sant Eusebi, Sant Gervasi- Galvany",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/157691255/d,1150,ATEMPORAL MONTHLY RENTALS,9202764010012,1,80
"Carrer de Joaquín Costa, El Raval",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-internet/157694592/d,1100,ATEMPORAL MONTHLY RENTALS,9202764010012,1,45
"Carrer de Sant Eusebi, Sant Gervasi- Galvany",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-internet/157681393/d,1400,ATEMPORAL MONTHLY RENTALS,9202764010012,1,90
"Carrer de Joaquín Costa, El Raval",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/157694453/d,875,ATEMPORAL MONTHLY RENTALS,9202764010012,1,35
El Raval,1,Apartment,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157695239/d,1100,ENGEL & VOELKERS,9202758116439,2,52
"Carrer de Travau, El Turó de la Peira",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-internet/157695225/d,750,TEVA CASA,9202763721388,2,69
"Carrer de Fluvià, 80, Provençals del Poblenou",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/157582767/d,950,HOUSFY REAL ESTATE aicat 7922,9202757194594,2,65
"Pamplona, 37, La Vila Olímpica del Poblenou",1,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/la-vila-olimpica-del-poblenou/157694969/d,750,PRINCIPAL PRIMERA,9202750551673,2,38
La Vila Olímpica del Poblenou,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/terraza-ascensor-piscina-amueblado/157694930/d,3000,ENGEL & VOELKERS,9202758116439,4,180
La Maternitat i Sant Ramon,1,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157694894/d,1250,AREA CASA,9202752570036,3,90
"Bilbao, El Poblenou",2,Flat,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-ascensor-piscina-amueblado-piscina/157692759/d,1330,TUKSA,9202751261817,3,118
"Massaguer, El Poblenou",2,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-trastero/157692758/d,1050,TUKSA,9202751261817,3,106
"Calle Carrer D'en Xuclà, ., El Raval",1,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-amueblado/156717925/d,1050,salvi,9202765219441,2,80
"Pz Maragall, Navas",2,Flat,Flat,0,2020-10-28,100,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/156202485/d,1010,SOLVIA SERVICIOS INMOBILIARIOS S.L,9202764388552,2,68
